8,11,0,2,0,0,6,5,8,4,2,3,16
6,7,1,4,1,3,6,2,4,7,2,3,42
29,29,0,5,1,0,6,3,2,6,2,3,42
19,22,1,5,1,3,6,2,4,7,2,7,7
29,6,0,5,1,2,6,5,8,7,2,3,42
11,15,1,5,1,3,6,2,4,7,2,7,21
22,22,0,15,0,0,6,2,4,7,2,7,21
11,26,1,15,1,0,6,5,8,4,2,7,21
24,9,0,16,1,0,6,6,8,4,2,3,42
13,29,1,17,1,2,6,6,8,7,2,7,16
17,7,1,17,0,0,6,2,4,1,2,7,21
21,25,0,17,1,0,9,6,8,4,2,7,7
3,8,0,18,1,3,6,2,4,6,2,7,16
27,30,1,18,1,2,6,2,4,7,2,7,16
2,2,1,18,0,3,6,2,4,7,2,7,16
16,16,1,18,0,3,6,2,4,7,2,7,21
15,19,0,18,0,2,6,7,8,7,2,7,16
15,28,0,18,0,1,6,2,4,7,2,3,42
1,1,0,18,0,3,6,2,4,7,2,3,42
29,30,0,18,0,2,6,2,4,7,2,7,7
2,2,1,18,0,3,6,6,8,7,2,3,42
9,16,1,18,0,2,6,3,12,7,2,3,16
4,4,0,18,0,3,6,6,8,1,2,7,7
8,20,0,18,1,2,4,6,8,6,2,7,21
12,15,1,18,0,0,6,3,2,7,2,7,21
26,26,0,18,0,2,6,3,12,7,2,7,7
26,2,1,18,0,2,6,2,4,1,2,7,7
1,2,1,18,0,3,6,2,4,1,2,7,7
16,23,0,18,0,2,6,2,4,1,2,7,21
4,10,1,18,0,2,6,2,4,7,2,3,42
7,12,1,18,0,2,6,3,2,4,2,3,42
12,16,0,18,0,2,6,6,8,7,2,9,29
13,15,1,18,0,2,6,2,4,7,2,3,44
19,22,1,18,1,0,6,5,8,1,2,3,7
23,23,0,18,0,3,6,2,4,1,2,3,42
25,10,1,18,0,3,6,3,2,7,2,7,16
24,24,0,18,0,3,6,2,4,7,2,7,7
4,4,0,18,0,2,6,2,4,1,2,3,7
15,15,0,18,0,2,6,2,4,4,2,3,42
17,31,0,18,0,2,6,2,4,7,2,3,16
12,12,0,18,0,0,6,7,8,1,2,7,21
13,25,0,18,0,0,6,2,4,1,2,7,16
3,4,0,18,0,0,6,5,8,1,2,3,42
19,29,1,18,0,3,6,4,8,7,2,8,29
19,20,0,18,0,0,6,6,8,7,2,3,42
25,8,1,18,0,3,6,2,4,1,2,3,7
30,4,0,18,0,0,6,2,4,7,2,7,21
4,20,0,18,0,0,6,2,4,7,2,7,16
14,17,1,18,0,12,6,0,12,1,2,2,7
16,17,1,18,0,0,6,5,8,4,2,3,42
18,20,0,18,0,0,6,4,8,7,2,7,21
25,29,0,18,0,0,6,2,4,7,2,3,42
27,27,1,18,0,0,6,2,4,7,2,3,42
28,29,1,18,1,12,6,0,12,7,2,3,42
7,10,1,18,0,0,6,2,4,7,2,3,7
28,4,1,18,0,0,6,2,4,7,2,9,29
3,7,1,18,0,0,6,2,4,7,2,3,7
19,20,0,18,0,0,6,3,2,6,2,3,42
19,19,1,18,0,3,6,2,4,7,2,3,42
27,27,0,18,0,3,6,2,4,7,2,3,42
27,4,1,18,0,0,6,2,4,7,2,7,7
28,27,0,18,0,0,6,2,4,7,2,3,7
29,14,0,18,0,0,6,6,8,4,2,7,16
30,16,1,18,0,0,6,2,4,4,2,7,21
11,12,0,18,0,3,6,2,4,7,2,3,42
18,19,0,18,0,3,6,2,4,7,2,7,7
21,24,1,18,0,0,6,2,4,7,2,7,16
1,1,0,18,0,0,6,2,4,7,2,7,7
9,10,0,18,0,0,6,2,4,7,2,3,42
19,20,0,18,0,3,6,2,4,7,2,7,16
20,23,1,18,0,0,6,2,4,1,2,3,16
26,27,1,18,0,3,6,2,4,1,2,8,29
27,8,0,18,1,12,6,0,12,1,2,3,7
4,8,0,18,0,0,6,2,4,7,2,3,42
5,5,0,18,0,3,6,2,4,7,2,3,7
5,7,1,18,0,0,6,2,4,1,2,3,16
6,14,0,18,1,0,6,2,4,7,2,3,16
8,9,0,18,0,0,6,2,4,7,2,8,29
9,9,1,18,0,0,6,2,4,1,2,3,42
20,20,1,18,0,12,6,0,12,7,2,8,8
20,19,0,18,0,0,6,6,8,4,2,7,21
24,26,0,18,0,0,6,6,8,4,2,3,7
22,22,0,18,0,12,6,0,12,7,1,7,7
23,24,1,18,0,0,6,2,4,1,2,9,29
10,10,0,18,1,0,6,2,4,1,2,3,16
3,3,0,18,0,0,6,2,4,1,2,3,7
4,4,0,18,0,0,6,6,8,4,2,8,29
6,8,1,18,0,0,4,2,4,7,2,7,16
18,18,0,18,0,0,6,2,4,7,2,7,7
18,21,1,18,0,0,6,3,12,6,2,3,7
1,21,0,18,1,0,6,2,4,7,2,7,7
5,3,0,18,0,0,6,2,4,7,2,7,21
11,16,1,18,0,0,6,2,4,7,2,3,16
24,27,1,18,0,0,6,2,4,7,2,7,21
6,2,0,18,0,0,6,2,4,7,2,7,7
8,10,0,18,0,0,6,2,4,7,2,3,16
13,8,0,18,0,0,6,2,4,1,2,3,7
14,14,1,18,0,24,6,2,4,7,1,7,21
17,17,0,18,0,0,6,2,4,7,2,3,16
20,20,1,18,0,0,6,5,8,4,2,3,42
